問題ID,問題文,選択肢,正解,解説,正答率,テーマ,画像URL
116A11,自閉スペクトラム症の特徴でないのはどれか。,"ａ: 男児に多い。
ｂ: 感覚過敏がある。
ｃ: 対人関係の苦手さがある。
ｄ: 就学前に症状がみられる。
ｅ: 物事に対するこだわりが弱い。",e,【選択肢考察】ａ　自閉症スペクトラム症〈ASD〉含め、精神科における多くの神経発達障害は男児に多い傾向にある。ｂ　感覚刺激に対し、敏感に反応する傾向がある。ｃ　コミュニケーション能力が低い傾向にある。ｄ　3歳までには症状が出そろう。ｅ　誤り。物事に対するこだわりが強い。,96%,自閉スペクトラム症の特徴,
116A12,急激な血圧上昇を認める患者で、高血圧緊急症の病態として考えにくいのはどれか。,"ａ: 急性大動脈解離
ｂ: 褐色細胞腫クリーゼ
ｃ: 乳頭浮腫を伴う脳浮腫
ｄ: 肺水腫を生じた急性心不全
ｅ: 肺動脈性肺高血圧症を伴う呼吸不全",e,【プロセス】単に血圧の異常高値だけでなく、直ちに降圧治療を開始しなければ標的臓器障害が急速に進展し，致命的になり得る病態を高血圧緊急症と呼ぶ。選択肢の病態はすべて高血圧の原因となるため、本問に正答するにあたっては「直ちに降圧治療を開始しなくても命に別状はない病態」を選択すればよい。【選択肢考察】ａ　急性大動脈解離は即死もありうる危険な病態である。ｂ　クリーゼ、すなわち危機的状況に至っており、すみやかな降圧が望まれる。ｃ　脳浮腫による神経系へのダメージが予想され、急ぎ降圧が望まれる。ｄ　急性心不全により肺水腫がみられており、呼吸・循環ともに危険な病態である。ｅ　誤り。肺動脈性肺高血圧症は文字通り、肺循環における高血圧である。体循環における高血圧とは一線を画し、たとえ呼吸不全を伴っていたとしても、降圧しないと即死するタイプの病態ではない。,54%,高血圧緊急症の病態,
116A13,脳血管性認知症について正しいのはどれか。2つ選べ。,"ａ: 50歳台では発症しない。
ｂ: 運動障害を伴うことが多い。
ｃ: 脳梗塞の初回発作では生じない。
ｄ: 頭部MRI・MRA画像では異常を認めない。
ｅ: 脳血流SPECTにおける血流分布異常は特定のパターンを示さない。","b,e",【選択肢考察】ａ　若年発症の脳血管性認知症もある。ｂ　正しい。脳血管の障害により錐体路等、運動関連の神経がダメージを受けることもある。ｃ　脳梗塞の初回発作でもありえ、strategic single infarct dementiaと呼ばれる。ｄ　脳血管の障害が病態の本質であり、頭部MRI・MRA画像でも異常を認めうる。ｅ　正しい。脳内のどの血管が障害されるか、はケースバイケースであり、特定のパターンはない。,86%,脳血管性認知症について,
116A14,病原体と悪性腫瘍の組合せで正しいのはどれか。2つ選べ。,"ａ: ヒトパピローマウイルス --------- 子宮体癌
ｂ: 成人T細胞白血病ウイルス --------- 肺癌
ｃ: C型肝炎ウイルス --------- 肝細胞癌
ｄ: Helicobacter pylori --------- 胃癌
ｅ: EBウイルス --------- 膵癌","c,d",【選択肢考察】ａ　ヒトパピローマウイルスは子宮体癌ではなく、子宮頸癌のリスクとなる。ｂ　成人T細胞白血病ウイルス〈HTLV-1〉は文字通り成人T細胞白血病〈ATL〉のリスクとなる。また、HTLV-1 associated myelopathy〈HAM〉の原因ともなる。ｃ　正しい。C型やB型肝炎ウイルスは肝細胞癌のリスクとなる。ｄ　正しい。ピロリ菌は胃癌のリスクとなる。ｅ　EBウイルスは上咽頭癌や悪性リンパ腫のリスクとなる。,99%,病原体と悪性腫瘍の組合せ,
116A15,急性腎障害の診断に用いられる指標はどれか。2つ選べ。,"ａ: 尿蛋白量
ｂ: 腎の長径
ｃ: 時間尿量
ｄ: 尿潜血の程度
ｅ: 血清クレアチニン値の上昇速度","c,e",【プロセス】急性腎障害〈AKI〉は血中クレアチニン値の急激な上昇または尿量の急激な減少により定義される。【選択肢考察】ａ　ネフローゼ症候群の診断に用いられる。ｂ　AKIでは腎腫大をみることがあるが、診断の指標とはならない。ｃ　正しい。上記の通り。ｄ　溶連菌感染後の急性糸球体腎炎〈PSAGN〉など血尿系の糸球体腎炎の評価に用いられる。ｅ　正しい。上記の通り。,55%,急性腎障害〈AKI〉の診断に用いられる指標,
116A16,76歳の女性。高血糖と尿蛋白を指摘されて来院した。退職前の健診で血糖値が高めであることを指摘されていたが、そのままにしていた。60歳で退職後は健診を受診していなかった。退職後の3年間で体重が10kg増加した。既往歴に特記すべきことはない。姉に糖尿病がある。現在はひとり暮らしである。運動習慣はない。視力低下のために眼科を受診したところ、増殖性糖尿病網膜症と診断され、高血糖と尿蛋白も指摘されて紹介された。身長154cm、体重70kg。脈拍72/分、整。血圧142/80mmHg。胸腹部に異常を認めない。両下腿に軽度の圧痕性浮腫を認める。尿所見：蛋白2＋、糖3＋、潜血（−）。随時尿の尿蛋白/Cr比は1.2g/gCr（基準0.15未満）。尿沈渣に赤血球1～2/HPF、白血球1～2/HPF、円柱を認めない。血液生化学所見：総蛋白6.1g/dL、アルブミン4.2g/dL、尿素窒素16mg/dL、クレアチニン0.6mg/dL、eGFR 72.3mL/分/1.73m2、随時血糖値201mg/dL、HbA1c 10.2％（基準4.6～6.2）、Na 142mEq/L、K 4.5mEq/L、Cl 100mEq/L、Ca 9.2mg/dL。抗GAD抗体陰性。尿蛋白の原因を調べるための腎生検は患者が希望しなかった。本患者の蛋白尿の原因が糖尿病性腎症であることを最も示唆する所見はどれか。,"ａ: 姉の糖尿病歴
ｂ: 抗GAD抗体陰性
ｃ: 糖尿病網膜症の存在
ｄ: 随時血糖値＞200mg/dL
ｅ: 尿蛋白/Cr比＞1.0g/gCr",c,【プロセス】①高齢女性②高血糖と尿蛋白を指摘（蛋白2＋、糖3＋）③3年間で体重が10kg増加④増殖性糖尿病網膜症と診断済⑤随時尿の尿蛋白/Cr比は1.2g/gCr⑥随時血糖値201mg/dL、HbA1c 10.2％⑦抗GAD抗体陰性☞①⑥⑦より2型糖尿病と考えられる。④⑥より状態は好ましくない。⑤からは蛋白尿の存在が読み取れ、②③からは糖尿病性腎症により体内の水分貯留が示唆される。【選択肢考察】ａ　家族歴は糖尿病リスクの1つではあるが、これをもって糖尿病性腎症と決めるわけではない。ｂ　1型ではなく2型であることが示唆されるが、糖尿病性腎症を示唆するわけではない。ｃ　正しい。糖尿病網膜症が存在する段階ではすでにコントロールが思わしくなく、全身の合併症が進行している可能性が高い。そのため、糖尿病性腎症の存在も高率に疑われる。ｄ　糖尿病自体の診断には有効であるが、これをもって腎症と言えるわけではない。ｅ　尿蛋白が多いことを示す。たしかに腎と関連する指標ではあるも、糖尿病以外の原因で尿蛋白が漏出している可能性もあるため、糖尿病性腎症とは言い切れない。,79%,糖尿病性腎症であることを示唆する所見,
116A17,"6か月の男児。嘔吐を主訴に母親に連れられて来院した。寝返りをした際に約50cmの高さのベッドからフローリングの床に転落し、その後嘔吐と活気不良を認めた。新生児期に血友病Aと診断されている。同疾患の家族歴がある。身長70cm、体重9kg。体温36.8℃。心拍数120/分、整。血圧86/56mmHg。呼吸数32/分。SpO2 98％（room air）。活気不良。顔色不良。心音と呼吸音とに異常を認めない。腹部は平坦、軟。血液所見：赤血球320万、Hb 10.2g/dL、Ht 30％、白血球14,000、血小板25万、PT-INR 1.3（基準0.9～1.1）、APTT 98.3秒（基準対照37.1）、血漿フィブリノゲン150mg/dL（基準186～355）。血液生化学所見：総蛋白4.5g/dL、アルブミン2.8g/dL、AST 30U/L、ALT 26U/L、LD 774U/L（基準120～245）、尿素窒素12mg/dL、クレアチニン0.6mg/dL、血糖120mg/dL。頭部単純CTを別に示す。適切な初期対応はどれか。","ａ: 赤血球輸血
ｂ: 自宅で経過観察
ｃ: 新鮮凍結血漿投与
ｄ: 凝固第IX因子製剤投与
ｅ: 凝固第VIII因子製剤投与",e,【プロセス】①6か月の男児②床に転落し、その後嘔吐と活気不良③新生児期に血友病Aと診断④APTT延長⑤血漿フィブリノゲン軽度低下⑥頭部単純CTにて頭蓋内出血あり☞④は③で説明がつく。②にある転落により⑥をきたし、出血による消耗で⑤がみられているのだろう。【選択肢考察】ａ　赤血球320万、Hb 10.2g/dL、Ht 30％と比較的保たれており、緊急で輸血が必要な状況とは考えにくい。ｂ　頭蓋内出血があり、嘔吐と活気不良を認めている。急ぎ対応が必要な状況であり、自宅での経過観察は★禁忌★と言える。ｃ　凝固因子全般の補充を目的に行われる。血友病Aでは特定の凝固因子のみを補えばよいため、凝固因子全般を投与する必要はない。ｄ　血友病Bに使用される。ｅ　正しい。血友病Aで不足している凝固因子である。,60%,脳出血をみる血友病Aの乳児への初期対応,https://damrn710kg0uo.cloudfront.net/data/qpics/production/image/3729/116A-17.jpg
116A18,23歳の男性。仕事中居眠りが多く、重要な商談や会議中でも発作的に眠ってしまうことが多いため来院した。数年前から夜間十分に眠っても日中に何回も急に強い眠気を認めるようになり、最近は大笑いや驚いた後に急に全身の力が抜けることが増えてきたという。神経診察に異常を認めない。この患者にみられる可能性が高い特徴はどれか。,"ａ: 入眠時に金縛りにあう。
ｂ: 夜間せん妄を合併する。
ｃ: 睡眠発作後にも眠気が残る。
ｄ: 睡眠中にパニック発作を認める。
ｅ: 睡眠中に脚を動かしたいという欲求が強まる。",a,【プロセス】①仕事中居眠り②重要な商談や会議中でも発作的に眠ってしまう③夜間十分に眠っても日中に何回も急に強い眠気を認める④大笑いや驚いた後に急に全身の力が抜ける☞睡眠発作（①②）、情動脱力発作〈カタプレキシー〉（④）を認めており、ナルコレプシーと考えられる。【選択肢考察】ａ　正しい。睡眠麻痺と呼ばれる。ｂ　入眠時幻覚をみることがあるも、夜間せん妄とは関係がない。ｃ　睡眠発作後の目覚めはスッキリしていることが多い。が、③にあるように、しばらくすると再度眠気に襲われる。ｄ　情動脱力発作をみるも、これはパニック発作とは関係ない。ｅ　むずむず脚症候群〈レストレスレッグス症候群〉についての記載である。,88%,ナルコレプシーについて,
116A19,"62歳の女性。息切れと全身倦怠感を主訴に来院した。7日前に発作性心房細動に対してカテーテルアブレーションが施行されており、3日前に退院していた。退院翌日に息切れと全身倦怠感が出現し、症状が徐々に増悪するため受診した。意識は清明。体温36.2℃。脈拍112/分、整。血圧88/72mmHg。血圧は吸気時に収縮期血圧が18mmHg低下する。呼吸数18/分。SpO2 95％（room air）。呼吸音に異常を認めない。心音は微弱だが雑音は聴取しない。頸静脈は怒張している。血液所見：赤血球462万、Hb 13.2g/dL、Ht 39％、白血球9,700、血小板39万。血液生化学所見：尿素窒素44mg/dL、クレアチニン1.7mg/dL、Na 141mEq/L、K 4.2mEq/L、Cl 110mEq/L。最も考えられる病態はどれか。","ａ: 後腹膜血腫
ｂ: 心室中隔穿孔
ｃ: 肺血栓塞栓症
ｄ: 心タンポナーデ
ｅ: 完全房室ブロック",d,【プロセス】①7日前に発作性心房細動に対してカテーテルアブレーション②退院翌日に息切れと全身倦怠感が出現し、症状が徐々に増悪③血圧88/72mmHg④血圧は吸気時に収縮期血圧が18mmHg低下⑤心音は微弱⑥頸静脈は怒張☞①②よりカテーテルアブレーションの合併症を考える。③より血圧低下と脈圧減少が読み取れる。④は奇脈と呼ばれる現象、⑤は心臓周囲の液体貯留を示唆する。⑥は右心不全徴候であり、これが吸気時に増悪した場合を特にKussmaul徴候と呼ぶ。カテーテルアブレーションの合併症として、心タンポナーデをきたした可能性が高い。【選択肢考察】ａ　赤血球462万、Hb 13.2g/dL、Ht 39％と保たれており、大量出血による血圧低下は考えにくい。ｂ　心雑音は聴取しておらず、否定的。ｃ　肺血栓塞栓症の存在下では血中酸素飽和度が低下し、過換気となる。SpO2 95％（room air）、呼吸数18/分は合致しない。ｄ　正しい。上記の通り。ｅ　脈拍112/分が説明つかない。,98%,心タンポナーデ（医原性）の診断,
116A20,"64歳の男性。呼吸困難を主訴に来院した。4日前に左胸痛と息切れが出現し、次第に増悪してきたため受診した。体温36.2℃。脈拍100/分、整。血圧120/80mmHg。呼吸数20/分。SpO2 92％（room air）。眼瞼結膜と眼球結膜とに異常を認めない。頸部リンパ節を触知しない。左胸部に呼吸音を聴取しない。血液所見：赤血球420万、Hb 13.0g/dL、Ht 37％、白血球4,400、血小板21万。CRP 0.4mg/dL。来院時の胸部エックス線写真（A）を別に示す。入院後、胸腔ドレーンを挿入したところ、直後から咳嗽と泡沫状の喀痰が出現した。この時点の胸部エックス線写真（B）を別に示す。胸腔ドレーン挿入後の病態として正しいのはどれか。","ａ: 肺炎
ｂ: 肺水腫
ｃ: 無気肺
ｄ: 肺胞出血
ｅ: うっ血性心不全",b,【プロセス】①4日前から左胸痛と息切れ②来院時の胸部エックス線写真（A）では左肺が虚脱（左気胸）③胸腔ドレーンを挿入した直後から咳嗽と泡沫状の喀痰とが出現④胸部エックス線写真（B）では左肺の透過性が低下しており、肺水腫を疑う☞②に対する胸腔ドレナージによって生じた再膨張性肺水腫。①③④も矛盾しない。【選択肢考察】ａ　経過が急性であり可能性は低い。ｂ　正しい。急激な肺の再膨張に伴う血管透過性の亢進により肺水腫をきたしたのだろう。ｃ　無気肺であれば区域性に透過性低下を来すことが多い。ｄ　肺胞出血であれば、喀血を認めるはず。ｅ　うっ血性心不全の場合は両側性に肺水腫の所見を認めるはず。,97%,再膨張性肺水腫の診断,"https://damrn710kg0uo.cloudfront.net/data/qpics/production/image/3730/116A-20A.jpg,https://damrn710kg0uo.cloudfront.net/data/qpics/production/image/3731/116A-20B.jpg"
116A21,"73歳の男性。総胆管結石の加療目的で内視鏡的結石除去術を施行した。3時間後から持続性の心窩部痛と背部痛を訴えた。体温35.8℃。脈拍104/分、整。血圧84/56mmHg。呼吸数20/分。SpO2 93％（room air）。顔面は蒼白である。腹部は平坦で、心窩部に圧痛と筋性防御を認める。血液所見：赤血球430万、Hb 15.3g/dL、Ht 44％、白血球11,000、血小板23万、PT-INR 1.0（基準0.9～1.1）。血液生化学所見：総ビリルビン1.2mg/dL、AST 20U/L、ALT 19U/L、LD 151U/L（基準120～245）、ALP 110U/L（基準38～113）、γ-GT 22U/L（基準8～50）、アミラーゼ1,495U/L（基準37～160）、クレアチニン1.0mg/dL。CRP 1.0mg/dL。腹部造影CTを別に示す。初期治療として、輸液に加えて行うべき治療で適切なのはどれか。","ａ: 血漿交換
ｂ: 緊急開腹手術
ｃ: 膵酵素阻害薬投与
ｄ: ステロイドパルス療法
ｅ: 内視鏡的胆道ドレナージ術",c,【プロセス】①総胆管結石の加療目的で内視鏡的結石除去術②3時間後から持続性の心窩部痛と背部痛③心窩部に圧痛と筋性防御④アミラーゼ高度上昇⑤腹部造影CTにて膵実質の造影不領域、炎症波及によると思われる膵周囲の液体貯留☞①②より内視鏡的結石除去術の合併症を考える。③④⑤より医原性急性膵炎の診断。※急性膵炎の治療については近年考え方が大きく変わっている（こちらのトピック参照）。116回と過去の出題であるため、現代では参考程度にとらえてほしい。【選択肢考察】ａ　重症例では血液透析や血漿交換を行うこともある。が、初期治療として輸液に加えて行う対応ではない。ｂ　重症例では手術適応となる例もある。が、初期治療として輸液に加えて行う対応ではない。ｃ　△。膵酵素による臓器障害を防止するため、初期治療として投与されていたが、現代では「推奨なし」という扱いになっている。ｄ　自己免疫性膵炎に対して行われることがある。ｅ　総胆管結石が原因となった急性膵炎で黄疸を合併している例では行われることがある。本患者では総ビリルビン1.2mg/dLと高度上昇はみられておらず、ドレナージの必要性は低い。,95%,急性膵炎の初期治療,https://damrn710kg0uo.cloudfront.net/data/qpics/production/image/3732/116A-21.jpg
116A22,22歳の男性。健診で腎機能低下を指摘され心配になり来院した。母親と叔父が透析治療を受けている。血液生化学所見：尿素窒素28mg/dL、クレアチニン1.5mg/dL。腹部MRI（脂肪抑制T2強調冠状断像）を別に示す。この疾患で誤っているのはどれか。,"ａ: 肝嚢胞の合併が多い。
ｂ: 常染色体優性型である。
ｃ: 新生児期から発症する。
ｄ: 脳動脈瘤の発生頻度が高い。
ｅ: 治療薬にバソプレシンV2受容体拮抗薬がある。",c,【プロセス】①22歳の男性②健診で腎機能低下を指摘③母親と叔父が透析治療④尿素窒素28mg/dL、クレアチニン1.5mg/dL⑤腹部MRIにて両側性の腎腫大と内部に多発する嚢胞が確認可能☞①③より遺伝性疾患を考える。②は④で裏付けられ、たしかに腎機能低下はありそうだ。⑤より多発性嚢胞腎〈PKD〉の診断。常染色体劣性のものは小児期からすでにみられるはずであるため、本症例は常染色体優性のADPKDと考えられる。【選択肢考察】ａ　肝や膵といった他臓器の嚢胞を合併しやすい。ｂ　上記の通り、常染色体優性遺伝〈AD〉と考えられる。ｃ　誤り。新生児期から発症するのは常染色体劣性のARPKD。ｄ　脳動脈瘤の発生頻度が高く、留意すべき合併症としてくも膜下出血〈SAH〉が知られる。ｅ　進行抑制にバソプレシン V2 受容体拮抗薬（トルバプタン）が有効である。,95%,多発性嚢胞腎〈PKD〉について,https://damrn710kg0uo.cloudfront.net/data/qpics/production/image/3733/116A-22.jpg
116A23,"38歳の男性。1週間前から皮下出血が出現したため自宅近くの診療所を受診したところ、白血球減少と血小板減少を指摘され精査のため紹介受診した。体温36.6℃。脈拍92/分、整。血圧118/76mmHg。眼瞼結膜は貧血様で眼球結膜に黄染を認めない。心音と呼吸音に異常を認めない。腹部は平坦、軟で、肝・脾を触知しない。両下肢に紫斑を認める。血液所見：赤血球381万、Hb 12.6g/dL、Ht 36％、白血球2,400（芽球9％、前骨髄球60％、分葉核好中球12％、リンパ球19％）、血小板1.6万。血液生化学所見：総蛋白7.7g/dL、アルブミン4.8g/dL、総ビリルビン1.1mg/dL、直接ビリルビン0.1mg/dL、AST 29U/L、ALT 30U/L、LD 365U/L（基準120～245）、ALP 110U/L（基準38～113）、尿素窒素18mg/dL、クレアチニン1.1mg/dL、尿酸9.3mg/dL、Na 143mEq/L、K 3.9mEq/L、Cl 107mEq/L、Ca 9.3mg/dL。CRP 0.3mg/dL。骨髄血塗抹May-Giemsa染色標本写真を別に示す。この患者に投与すべき薬剤はどれか。","ａ: イマチニブ
ｂ: ゲフィチニブ
ｃ: シクロスポリン
ｄ: ブレオマイシン
ｅ: 全トランス型レチノイン酸",e,【プロセス】①1週間前から皮下出血が出現②白血球減少と血小板減少③両下肢に紫斑④白血球分画にて芽球9％、前骨髄球60％⑤骨髄血塗抹May-Giemsa染色標本写真にてazur顆粒を豊富に含む細胞とAuer小体・faggot細胞の確認☞②による出血傾向で①③は説明がつく。④で芽球が増えていることから白血病を疑うが、前骨髄球が60％と著増していること、⑤から急性前骨髄球性白血病〈APL〉（M3）の診断となる。【選択肢考察】ａ　慢性骨髄性白血病〈CML〉ないし一部の急性リンパ性白血病〈ALL〉の治療。ｂ　EGFRチロシンキナーゼ阻害薬。一部の肺癌に用いられる。ｃ　免疫抑制薬。再生不良性貧血などに用いられる。ｄ　Hodgkinリンパ腫のABVD療法におけるBに該当する。ｅ　正しい。APLに対しては全トランス型レチノイン酸〈ATRA〉療法が有効。,99%,急性前骨髄球性白血病〈APL〉の治療薬,https://damrn710kg0uo.cloudfront.net/data/qpics/production/image/3734/116A-23.jpg
116A24,45歳の男性。嗄声を主訴に来院した。2年前から誘因なく嗄声が出現し、咽喉異物感と慢性的な咳が続いている。喫煙歴と飲酒歴はない。喉頭内視鏡写真を別に示す。最も考えられるのはどれか。,"ａ: 喉頭癌
ｂ: 声帯結節
ｃ: 喉頭乳頭腫
ｄ: 声帯ポリープ
ｅ: 喉頭白斑〈板〉症",c,【プロセス】①2年前から誘因なく嗄声②咽喉異物感と慢性的な咳③喫煙歴なし④喉頭内視鏡写真では両側の声帯ないし仮声帯に白色の隆起性病変☞実質的に④の画像一発問題であろう。喉頭乳頭腫が考えやすい。①②の症候も矛盾しない。本疾患の原因はヒトパピローマウイルス感染であり、喉頭癌のような喫煙がリスクとなるものとは異なる（③）。【選択肢考察】ａ　喫煙者に多い。また2年間にわたる緩徐な進行も考えにくい。ｂ　声帯前方1/3あたりに左右対称の結節病変がみられることが多い。ｃ　正しい。上記の通り。ｄ　通常、片側性に1つのみみられる。本画像のように隆起性病変が多発することはない。ｅ　喫煙者に多い前がん病変。隆起性はなく、平坦な病変がみられる。,46%,喉頭乳頭腫の診断,https://damrn710kg0uo.cloudfront.net/data/qpics/production/image/3735/116A-24.jpg
